subject,metric,feature_type,i_idx,j_idx,i_label,j_label,cv,kl
34,ImagPLV,edges,7,12.0,T7,P7,2.1118124558452025,1.4275312454108713
34,ImagPLV,edges,7,18.0,T7,O2,2.7823704540218004,1.2041876676908245
34,ImagPLV,edges,8,12.0,C3,P7,0.9132093080934531,0.8973156885367872
34,ImagPLV,edges,8,13.0,C3,P3,1.3588700604579118,1.5219383786576184
34,ImagPLV,edges,8,17.0,C3,O1,1.0443614684558602,1.2558326033128198
34,ImagPLV,edges,8,18.0,C3,O2,1.377111011305694,0.999890754147138
34,ImagPLV,edges,9,14.0,Cz,Pz,2.5324480941176715,0.8707852652914401
34,ImagPLV,edges,9,15.0,Cz,P4,2.059141230453737,1.2592778516163827
34,ImagPLV,edges,10,15.0,C4,P4,2.2278473493005477,1.031145185866535
34,ImagPLV,edges,10,16.0,C4,P8,0.8685946103502344,0.9685719046453245
34,ImagPLV,edges,15,16.0,P4,P8,0.6329435722065324,1.2232161302847182
34,ImagPLV,ns,4,,Fz,,0.327266921651517,1.3343691908941044
34,ImagPLV,ns,5,,F4,,0.3244673058459149,0.8111549269489104
39,ImagPLV,edges,0,9.0,FP1,Cz,1.043242382143254,0.9291228230239968
39,ImagPLV,edges,2,13.0,F7,P3,0.9929265331624504,0.9067053145603021
39,ImagPLV,edges,3,7.0,F3,T7,0.7751408865261564,1.2199892644287669
39,ImagPLV,edges,3,12.0,F3,P7,0.7008857538876073,1.0637984696678064
39,ImagPLV,edges,4,8.0,Fz,C3,0.7510365314327256,1.3874665908777295
39,ImagPLV,edges,4,11.0,Fz,T8,0.894579834742571,1.0072416997123468
39,ImagPLV,edges,9,10.0,Cz,C4,0.9489772971341761,1.029004799999161
39,ImagPLV,edges,10,16.0,C4,P8,0.9837605484135568,1.610646300101576
39,ImagPLV,edges,13,17.0,P3,O1,0.8831122951334425,1.110359418431616
39,ImagPLV,ns,7,,T7,,0.36585724744111303,0.809200449188542
39,ImagPLV,ns,8,,C3,,0.3537854808005525,0.6886353537566428
1,PLI,edges,0,6.0,FP1,F8,0.726451010980488,0.6870556832250019
1,PLI,edges,0,13.0,FP1,P3,0.7081401197971584,1.0062450181095688
1,PLI,edges,1,5.0,FP2,F4,0.7318427685822081,0.6835620029673208
1,PLI,edges,3,9.0,F3,Cz,0.710581096164302,1.0741626805743043
1,PLI,edges,4,17.0,Fz,O1,0.718183497707781,0.775656315588668
1,PLI,edges,5,17.0,F4,O1,0.7179933106473024,0.7239568246629047
1,PLI,edges,7,12.0,T7,P7,0.7196614402892563,0.869248499851702
1,PLI,edges,8,12.0,C3,P7,0.7314695893120081,0.9493303823225003
1,PLI,edges,9,12.0,Cz,P7,0.6905013035936214,0.8526739473702034
1,PLI,edges,9,18.0,Cz,O2,0.7024267965272489,1.4503751774582647
1,PLI,edges,10,16.0,C4,P8,0.6684380135947658,0.6687665166018344
1,PLI,edges,12,13.0,P7,P3,0.7152519081870745,1.2683671627809603
1,PLI,edges,14,18.0,Pz,O2,0.683026447160684,1.739324496099845
1,PLI,ns,8,,C3,,0.360143458651756,0.6610050544005679
1,PLI,ns,10,,C4,,0.33747664836168584,1.0198245356159497
1,PLI,ns,14,,Pz,,0.34027307301434434,0.6024154305973898
2,PLI,edges,0,14.0,FP1,Pz,0.7410041000056087,0.8514778177355582
2,PLI,edges,0,15.0,FP1,P4,0.7618027148769884,0.5936184068834119
