subject,metric,feature_type,n_features_valid,stability_percentile,kl_percentile,stable_count,highKL_count,stable_and_highKL_count,mean_cv_edges,mean_cv_ns,mean_kl_edges,mean_kl_ns,cv,kl,frac_sd,rank_frac_sd,rank_kl,rank_cv,borda_score_subject,subject_rank
39,imCoh,ns,19,30.0,70.0,6,6,1,8.838134861825848,0.4063309633647658,0.676051753626604,0.6464419604625743,0.4063309633647658,0.6464419604625743,0.05263157894736842,9.0,6.0,9.0,24.0,9.0
1,MSC,edges,171,30.0,70.0,52,52,19,0.2651739503805284,0.2302110219832103,0.3905668909326198,0.3881355347339357,0.2651739503805284,0.3905668909326198,0.1111111111111111,5.0,7.0,3.0,15.0,5.0
1,MSC,ns,19,30.0,70.0,6,6,2,0.2651739503805284,0.2302110219832103,0.3905668909326198,0.3881355347339357,0.2302110219832103,0.3881355347339357,0.10526315789473684,3.0,6.0,3.0,12.0,2.0
2,MSC,edges,171,30.0,70.0,52,52,19,0.2965574850280716,0.238445739615953,0.544986966072238,0.5902313009683506,0.2965574850280716,0.544986966072238,0.1111111111111111,2.0,2.0,3.0,7.0,1.0
2,MSC,ns,19,30.0,70.0,6,6,4,0.2965574850280716,0.238445739615953,0.544986966072238,0.5902313009683506,0.238445739615953,0.5902313009683506,0.21052631578947367,1.0,4.0,3.0,8.0,2.0
5,MSC,edges,171,30.0,70.0,52,52,9,0.20786099636499297,0.17625662572210887,0.6273885507701777,0.7178911843866147,0.20786099636499297,0.6273885507701777,0.05263157894736842,9.0,4.0,3.0,16.0,6.0
5,MSC,ns,19,30.0,70.0,6,6,3,0.20786099636499297,0.17625662572210887,0.6273885507701777,0.7178911843866147,0.17625662572210887,0.7178911843866147,0.15789473684210525,1.0,2.0,3.0,6.0,1.0
9,MSC,edges,171,30.0,70.0,52,52,12,0.27616344565279477,0.20173062033832992,0.52719930882351,0.5033691924631666,0.27616344565279477,0.52719930882351,0.07017543859649122,7.0,6.0,3.0,16.0,6.0
9,MSC,ns,19,30.0,70.0,6,6,3,0.27616344565279477,0.20173062033832992,0.52719930882351,0.5033691924631666,0.20173062033832992,0.5033691924631666,0.15789473684210525,2.0,6.0,3.0,11.0,3.0
21,MSC,edges,171,30.0,70.0,52,52,20,0.1795350277926273,0.1172367704094994,0.6565759956293356,0.4801223624410885,0.1795350277926273,0.6565759956293356,0.11695906432748537,1.0,2.0,2.0,5.0,1.0
